fuelbed,thin,herb,rxfire,eligibility_thinning,eligibility_herbicide,eligibility_rxfire,treatability_thinning,treatability_herbicide,treatability_rxfire,post_1,max_tslt,mfri_shortens,mfri_lengthens_1,mfri_lengthens_2,crown_fire,mfri_lower,mfri_upper,succession_post_1,succession_post_2,succession_max,probability_of_ignition
1034405,1034405,1034405,1034405,1,1,1,1,1,1,1031405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1034406,1034406,1034406,1034406,1,1,1,1,1,1,1031406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1051401,1051401,1051401,1051401,1,1,1,1,1,1,1051401,999999999,1051401,1051401,1051401,1051401,0,32,1051402,-1,10,0.25
1051402,1051402,1051402,1051402,1,1,1,1,1,1,1051402,999999999,1051402,1051402,1051402,1051401,0,32,1051403,-1,20,0.25
1051403,1051403,1051403,1051403,1,1,1,1,1,1,1051403,999999999,1051403,1051403,1051403,1051401,0,32,1051404,-1,40,0.25
1051404,1051404,1051404,1051404,1,1,1,1,1,1,1051404,999999999,1051404,1051404,1051404,1051401,0,32,1051405,-1,60,0.25
1051405,1051405,1051405,1051405,1,1,1,1,1,1,1051405,999999999,1051405,1051405,1051405,1051401,0,32,1051406,-1,100,0.25
1051406,1051406,1051406,1051406,1,1,1,1,1,1,1051406,999999999,1051406,1051406,1051406,1051401,0,32,-1,-1,999999999,0.25
1052101,1052101,1052101,1052101,1,1,2,1,1,2,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1052102,1052102,1052102,1052102,1,1,2,1,1,2,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1052103,1052103,1052103,1052103,1,1,2,1,1,2,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1052104,1052104,1052104,1052104,1,1,2,1,1,2,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1052105,1052105,1052105,1052105,1,1,2,1,1,2,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1052106,1052106,1052106,1052106,1,1,2,1,1,2,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1052201,1052201,1052201,1052201,1,1,2,1,1,2,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1052202,1052202,1052202,1052202,1,1,2,1,1,2,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1052203,1052203,1052203,1052203,1,1,2,1,1,2,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1052204,1052204,1052204,1052204,1,1,2,1,1,2,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1052205,1052205,1052205,1052205,1,1,2,1,1,2,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1052206,1052206,1052206,1052206,1,1,2,1,1,2,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1052301,1052301,1052301,1052301,1,1,1,1,1,2,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1052302,1052302,1052302,1052302,1,1,1,1,1,2,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1052303,1052303,1052303,1052303,1,1,1,1,1,2,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
